dept,num,hrs,grade,points
ANTH,53H,3,B,9
ECON,101,3,B-,8.1
GERM,101,4,A,16
MATH,233,3,A,12
PLCY,101H,3,A-,11.1
ECON,310,3,A,12
ENGL,105I,3,A,12
GERM,102,4,A,16
MUSC,142,3,A,12
POLI,257,3,B,9
GERM,203,3,A,12
ENGL,146,3,A-,11.1
GERM,204,3,A,12
HIST,366,3,A-,11.1
LFIT,109,1,A,4
PLCY,220H,3,A,12
POLI,236,3,A-,11.1
AMST,248,3,A,12
GERM,302,3,A,12
POLI,130,3,A,12
POLI,412H,3,A-,11.1
STOR,155,3,A,12
PLCY,210,3,A,12
MEJO,141,3,B+,9.9
GERM,371,3,A,12
PLCY,460H,4,A,16
PLCY,581,3,A,12
POLI,384,3,A,12
PHIL,698,3,A,12
PLCY,340,3,A,12
PLCY,691H,3,A,12
SOCI,273,3,A,12
